Student_ID,Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Placement_Status
1048,22,Female,B.Tech,ECE,6.29,0,3,4,6,51,5,1,3,Not Placed
37820,20,Female,BCA,ECE,6.05,1,4,6,8,59,8,2,1,Not Placed
49668,22,Male,MCA,ME,7.22,1,4,6,6,58,6,2,2,Not Placed
19467,22,Male,MCA,ME,7.78,2,4,6,6,90,4,2,0,Placed
23094,20,Female,B.Tech,ME,7.63,1,4,6,5,79,6,2,0,Placed
8710,20,Male,BCA,ECE,7.99,1,4,5,7,84,6,2,0,Placed
24363,21,Male,MCA,ECE,7.5,1,4,6,4,71,8,2,1,Not Placed
27448,19,Male,B.Tech,ME,8.0,0,4,4,5,74,3,1,0,Not Placed
23663,24,Male,BCA,Civil,6.24,0,3,3,10,54,7,1,2,Not Placed
39336,23,Male,B.Sc,ME,7.08,2,4,7,6,59,6,2,2,Not Placed
21919,18,Female,MCA,Civil,5.42,0,2,1,7,42,5,0,1,Not Placed
11924,19,Male,MCA,ECE,7.48,2,5,9,8,67,6,3,0,Placed
11236,19,Male,B.Sc,CSE,7.58,1,5,8,1,80,8,3,2,Not Placed
31588,18,Male,B.Tech,ECE,6.74,2,4,7,6,73,8,2,0,Placed
11221,19,Female,MCA,ECE,6.11,1,3,5,5,57,5,1,2,Not Placed
6245,18,Male,BCA,ECE,6.79,0,3,5,5,81,6,2,0,Placed
41110,23,Female,B.Sc,IT,7.41,0,3,3,5,83,5,1,1,Not Placed
46279,18,Female,B.Sc,CSE,5.97,0,3,6,4,52,6,2,2,Not Placed
25157,23,Male,B.Tech,CSE,6.69,1,4,8,7,68,6,2,1,Placed
42829,20,Male,BCA,Civil,7.95,1,4,5,6,81,6,2,1,Placed
32822,18,Female,B.Tech,ME,7.3,1,4,7,8,70,7,2,0,Placed
10557,18,Female,MCA,ME,7.02,0,3,3,8,81,6,1,0,Not Placed
33595,23,Female,BCA,ECE,7.29,0,3,3,6,88,5,1,0,Not Placed
49018,21,Male,BCA,ME,7.69,1,3,4,5,54,9,1,0,Not Placed
2359,24,Male,BCA,CSE,8.47,2,5,9,3,80,4,3,0,Not Placed
16180,24,Female,B.Tech,ECE,7.97,1,4,7,5,89,6,2,1,Placed
19260,23,Male,B.Tech,ECE,7.58,2,4,5,4,66,6,2,2,Not Placed
26634,23,Female,MCA,Civil,7.08,2,4,7,7,83,4,2,0,Placed
9097,24,Female,B.Sc,CSE,6.89,1,4,8,5,69,5,2,0,Placed
19470,24,Male,B.Tech,ECE,7.49,2,4,5,3,80,4,2,0,Not Placed
32452,20,Male,BCA,IT,6.69,1,3,4,7,64,7,1,1,Not Placed
49309,21,Female,MCA,ME,6.29,1,3,3,4,55,5,1,2,Not Placed
32207,20,Female,B.Sc,Civil,8.0,0,4,5,7,74,6,2,0,Placed
48115,21,Female,B.Tech,CSE,7.27,0,4,5,5,76,7,2,0,Placed
6121,24,Female,BCA,Civil,8.17,1,4,4,6,89,6,2,0,Not Placed
7729,23,Female,B.Sc,ECE,7.83,1,5,9,5,82,6,3,1,Placed
23604,19,Male,BCA,IT,6.9,1,4,6,7,75,5,2,0,Placed
31239,23,Male,MCA,Civil,5.22,0,3,4,4,47,6,1,1,Not Placed
2225,20,Male,BCA,CSE,6.09,1,3,5,5,63,7,2,2,Not Placed
32808,19,Male,MCA,IT,6.35,0,3,3,8,40,5,1,1,Not Placed
23466,24,Female,MCA,IT,5.63,1,3,6,5,55,6,2,1,Not Placed
49126,23,Female,BCA,CSE,7.78,1,4,7,6,96,8,2,0,Placed
38907,24,Female,B.Tech,CSE,7.67,3,5,8,6,59,6,2,1,Placed
28311,23,Male,B.Sc,CSE,5.52,0,3,4,6,57,6,1,2,Not Placed
18524,24,Female,BCA,ME,6.1,1,4,6,6,68,6,2,2,Not Placed
47147,21,Male,B.Tech,CSE,6.4,1,4,7,4,74,7,2,2,Not Placed
2211,23,Male,MCA,Civil,8.18,0,4,5,3,94,6,2,0,Not Placed
37778,23,Female,BCA,ECE,6.96,2,3,5,5,68,6,2,1,Placed
5966,18,Female,B.Tech,Civil,5.37,0,3,4,8,62,4,1,1,Not Placed
13568,22,Female,B.Sc,ME,7.72,0,3,3,5,65,6,1,0,Not Placed
28638,24,Female,B.Sc,IT,6.04,0,3,3,7,54,6,1,1,Not Placed
41047,24,Female,MCA,IT,8.64,0,4,5,5,94,6,2,0,Placed
40879,19,Female,BCA,ECE,8.19,1,5,7,4,75,8,2,0,Not Placed
6762,19,Male,BCA,ECE,6.74,1,4,6,8,67,4,2,1,Placed
42255,23,Male,BCA,Civil,6.96,1,3,4,3,71,8,1,0,Not Placed
23033,19,Male,B.Tech,ME,8.03,3,5,7,6,86,5,2,0,Placed
27410,22,Male,B.Sc,Civil,9.04,1,5,6,5,82,6,2,0,Placed
47521,21,Male,B.Sc,ME,7.61,1,4,6,7,74,6,2,2,Not Placed
14363,19,Female,MCA,ME,8.09,1,5,7,5,78,6,2,0,Placed
40101,24,Male,BCA,ME,7.04,1,3,2,6,55,6,1,0,Not Placed
24795,22,Female,B.Sc,ME,6.52,0,3,4,4,61,7,1,0,Not Placed
15317,23,Female,BCA,IT,6.31,0,2,2,5,60,6,1,3,Not Placed
797,21,Male,B.Sc,ECE,6.59,1,3,5,6,72,7,2,0,Placed
24402,18,Female,B.Tech,Civil,5.92,1,3,5,5,82,5,2,1,Not Placed
25030,19,Male,MCA,ECE,7.27,1,5,9,6,77,8,3,0,Placed
17501,20,Male,B.Sc,IT,5.85,0,3,6,5,54,6,2,1,Not Placed
33157,20,Female,B.Tech,Civil,7.5,2,4,5,7,64,4,2,1,Placed
17136,20,Female,BCA,CSE,7.08,1,4,6,5,61,6,2,0,Placed
